Condition_mM,Track,Time,MidpointBendingAngle_deg,AutocorrPeakR,AutocorrPeriod_s,ZeroCrossings_10s,WindowAmplitude_deg,ThrashRate_Hz
21,0001_1,21.785714285714285,12.909845152267245,0.13915670747506528,0.6428571428569967,23,216.22599177759753,0.0
21,0001_1,21.857142857142858,12.909845152267245,0.14476184569400952,0.6428571428569967,24,216.22599177759753,0.0
21,0001_1,21.928571428571427,,,,0,,
21,0001_1,22.0,-55.63804765813538,0.2269535403225061,0.6428571428569967,24,216.22599177759753,1.5555555555559093
21,0001_1,22.07142857142857,-77.62713432361039,0.23852637915661778,0.6428571428569967,25,215.76784736685767,1.5555555555559093
21,0001_1,22.142857142857142,,,,0,,
21,0001_1,22.21428571428571,,,,0,,
21,0001_1,22.285714285714285,23.29734924772875,0.27959771137429035,0.6428571428569967,24,215.76784736685767,1.5555555555559093
21,0001_1,22.357142857142858,,,,0,,
21,0001_1,22.428571428571427,-18.74899594903456,0.32909603750388916,0.6428571428569967,25,249.9128576820255,1.5555555555559093
21,0001_1,22.5,-18.74899594903456,0.29859643237217376,0.6428571428569967,25,266.7110678582013,1.5555555555559093
21,0001_1,22.57142857142857,,,,0,,
21,0001_1,22.642857142857142,33.848638099597565,0.2568807344982151,0.6428571428569967,25,249.57530240951115,1.5555555555559093
21,0001_1,22.71428571428571,69.99742939391315,0.28128987627230073,0.6428571428569967,25,249.57530240951115,1.5555555555559093
21,0001_1,22.785714285714285,33.848638099597565,0.23172527448488822,0.6428571428569967,25,249.57530240951115,1.5555555555559093
21,0001_1,22.85714285714285,,,,0,,
21,0001_1,22.928571428571427,-51.914313245131055,0.1529896536462793,0.9285714285712174,25,249.57530240951115,0.0
21,0001_1,23.0,-51.914313245131055,0.16898638495545323,0.9285714285712174,25,249.57530240951115,0.0
21,0001_1,23.07142857142857,-47.6843667355427,0.15881123195761015,0.9285714285712174,25,249.57530240951115,0.0
21,0001_1,23.142857142857142,-5.977765485607211,0.15915621819930398,0.9285714285712174,25,249.57530240951115,0.0
21,0001_1,23.21428571428571,35.72883576432828,0.17857756105720773,0.9285714285712174,25,249.57530240951115,0.0
21,0001_1,23.285714285714285,,,,0,,
21,0001_1,23.35714285714285,,,,0,,
21,0001_1,23.428571428571427,-27.31414544504762,0.192934220051619,0.9285714285712174,24,249.57530240951115,0.0
21,0001_1,23.5,,,,0,,
21,0001_1,23.57142857142857,57.81310207062633,0.21738968717642995,0.9285714285712174,25,249.57530240951115,1.0769230769233218
21,0001_1,23.642857142857142,86.3834733605532,0.21378727268520664,0.9285714285712174,25,249.57530240951115,1.0769230769233218
21,0001_1,23.71428571428571,57.81310207062633,0.2054495407894644,0.9285714285712174,25,249.57530240951115,1.0769230769233218
21,0001_1,23.785714285714285,,,,0,,
21,0001_1,23.85714285714285,-73.84521241721194,0.2074307262819076,0.9285714285712174,25,249.57530240951115,1.0769230769233218
21,0001_1,23.928571428571427,-73.84521241721194,0.23161342877911326,0.9285714285712174,25,249.57530240951115,1.0769230769233218
21,0001_1,24.0,,,,0,,
21,0001_1,24.07142857142857,45.733891670395025,0.23078024800604413,0.9285714285712174,25,249.57530240951115,1.0769230769233218
21,0001_1,24.142857142857142,80.71940073010886,0.2020148741373563,0.9285714285712174,25,249.57530240951115,1.0769230769233218
21,0001_1,24.21428571428571,80.71940073010886,0.1687848771757752,0.9285714285712174,25,249.57530240951115,0.0
21,0001_1,24.285714285714285,,,,0,,
21,0001_1,24.35714285714285,,,,0,,
21,0001_1,24.428571428571427,-47.66742107508493,0.15805243033626645,0.6428571428569967,24,249.57530240951115,0.0
21,0001_1,24.5,,,,0,,
21,0001_1,24.57142857142857,38.68784631249548,0.1666169218079208,0.6428571428569967,24,249.57530240951115,0.0
21,0001_1,24.642857142857142,73.98884687257858,0.1692026581017927,0.6428571428569967,24,249.57530240951115,0.0
21,0001_1,24.71428571428571,38.68784631249548,0.167243572346574,0.6428571428569967,24,249.57530240951115,0.0
21,0001_1,24.785714285714285,,,,0,,
21,0001_1,24.85714285714285,-64.47725358170989,0.1664333761271938,0.6428571428569967,25,249.57530240951115,0.0
21,0001_1,24.928571428571427,-64.47725358170989,0.16002545975920882,0.6428571428569967,25,249.57530240951115,0.0
21,0001_1,25.0,,,,0,,
21,0001_1,25.07142857142857,32.58754746203285,0.17434428752032524,0.6428571428569967,25,249.57530240951115,0.0
21,0001_1,25.142857142857142,59.53925130291631,0.18044460462080905,0.6428571428569967,25,249.57530240951115,0.0
21,0001_1,25.21428571428571,,,,0,,
21,0001_1,25.285714285714285,,,,0,,
21,0001_1,25.35714285714285,-95.60061068345708,0.17920921323691405,0.6428571428569967,25,249.57530240951115,0.0
21,0001_1,25.428571428571427,-85.1779169140831,0.18157915256813761,0.6428571428569967,24,249.57530240951115,0.0
21,0001_1,25.5,,,,0,,
21,0001_1,25.57142857142857,67.90675094215106,0.17825918102030436,0.6428571428569967,24,249.57530240951115,0.0
21,0001_1,25.642857142857142,96.40422008653088,0.1735228192833046,0.6428571428569967,23,249.57530240951115,0.0
21,0001_1,25.71428571428571,67.90675094215106,0.17476266393646547,0.6428571428569967,23,249.57530240951115,0.0
21,0001_1,25.785714285714285,,,,0,,
21,0001_1,25.85714285714285,-85.32096971963207,0.1680087142552351,0.6428571428569967,22,249.57530240951115,0.0
21,0001_1,25.928571428571427,-129.74562099862493,0.1680087142552351,0.6428571428569967,22,249.57530240951115,0.0
21,0001_1,26.0,-146.54383117480074,0.1672526463303251,0.6428571428569967,23,249.57530240951115,0.0
21,0001_1,26.07142857142857,-153.17108232298028,0.16479166516470897,0.6428571428569967,22,249.57530240951115,0.0
21,0001_1,26.142857142857142,-153.17108232298028,0.16294494879644478,0.6428571428569967,22,249.57530240951115,0.0
21,0001_1,26.21428571428571,-153.17108232298028,0.15564915706594953,0.6428571428569967,23,249.57530240951115,0.0
21,0001_1,26.285714285714285,-153.17108232298028,0.145288451350726,0.9285714285712174,23,249.57530240951115,0.0
21,0001_1,26.35714285714285,-149.3920244514241,0.13413546984534444,0.9285714285712174,22,249.57530240951115,0.0
21,0001_1,26.428571428571427,-149.27202542942604,0.13413546984534444,0.9285714285712174,22,249.57530240951115,0.0
21,0001_1,26.5,-120.34141299247668,0.1447082858371138,0.9285714285712174,23,249.57530240951115,0.0
21,0001_1,26.57142857142857,,,,0,,
21,0001_1,26.642857142857142,51.01988464847631,0.14929395965693049,0.9285714285712174,22,249.57530240951115,0.0
