Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0003_4,0003_5,0004_1,0004_2,0004_3,0004_4,0004_5
97,6.857142857142857,1854035.155685503,,2104983.295041679,,,2286626.0253806477,,1876009.480433234,1956336.112616454,1806613.9763190127,2037621.4880280602,1760005.93929237,,1867325.181640037,,1780898.705307734,2180299.9536661156,
98,6.928571428571428,1807357.2023908584,,2178852.3384489277,,,2299437.5548387854,,,,1857949.7519537017,2181837.9200575156,1683109.7509507933,,2138310.5170412045,,,2216044.0094625084,
99,7.0,1775672.3404288376,,2099329.637985541,,,2124670.610242821,,,,1652357.3500742237,1926682.52596617,1608296.102594301,,1891081.6438536013,,1863333.0330007102,2180428.455692969,
100,7.071428571428571,1910759.3343005201,,,1966431.2242254694,,2039453.8487271587,,,,1803349.1764724136,2119915.8377775108,1472367.1630487333,,1885533.1873880385,,1870705.059122077,2003327.1336368527,
101,7.142857142857142,1865909.6572012187,,1947451.6527431302,,,2170386.8784908513,,,2039449.542944799,1777395.4397246442,2030944.2228818343,1839990.6379616987,,1899844.014469886,,1859732.5546399334,,
102,7.2142857142857135,1759361.909905178,,2075967.8557947667,1946210.583728017,,2413056.4856632105,,,2139090.049444047,1950821.623282267,2101318.952807625,1816648.7728468287,,1848693.3252510035,,,,
103,7.285714285714286,1853228.91479184,,2063507.350426178,1946210.583728017,,2418815.885920116,,,,1890848.1160676617,2115961.9612902366,1813181.6060351655,,1960622.0905939243,,,2091869.363810513,
104,7.357142857142857,,,2133396.2835879982,1946210.583728017,,2355234.95914206,,,2109187.8897329327,1891675.7536218832,2083524.3982421223,1762828.5241783042,,1754656.922148401,,,2199418.6068622875,
105,7.428571428571428,1814868.398271386,,2155014.6109842258,,,2313276.777404243,,1930677.7009410665,,1981705.5360561227,2049774.092106066,1673795.086604549,,2019451.647431785,,,2035512.3330299077,
106,7.5,1849332.8417630424,,2070092.587943006,,,2335681.170188461,,,,1732942.245005974,2034245.55456481,1986697.0798034181,,2003820.6529860983,,1825223.0234283716,,
107,7.571428571428571,1890286.8963612672,,2056623.0956606844,,,2381588.0955686984,,,,2046304.5392454076,1989583.9155945869,1739671.1576966266,,1759615.5800280687,,,2022660.4590270352,
108,7.642857142857142,,,1968769.2920144114,,,2256082.839333808,,,,1863431.7421543316,2233371.1719402443,1915091.4812861327,,1902707.2038120024,,,,
109,7.7142857142857135,1860066.198679977,,2103649.6553770555,2181703.6386056305,,2206962.431980566,,,2139218.0525293727,1950527.4093298423,2120751.881567871,1930346.4338227578,,1835036.334499177,,,2151394.7232245808,
110,7.785714285714286,,,2117042.3633785956,,,2379620.389280736,,,2136541.0517802155,1788572.328160674,2115962.157216885,1796371.9700399712,,1802144.0753652346,,,,
111,7.857142857142857,,,2100818.190047083,,,2295780.501288663,,,2129720.446903775,1703686.817140516,2094026.0958597928,1771841.3198008533,,1707790.7315186479,,,2108815.554156301,
112,7.928571428571428,,,,,,2249640.215884512,,,,1841687.560739478,2180571.864516842,1834028.809925806,,1933382.2880001084,,1903776.0157713736,2008982.0257929203,
